Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;3-BRSA-1172-RJS;3RJS722;ATAPU;Petrobras;48610012913201005;2020/10;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2020/06;ATAPU;27,7;< 270ºC;30.3%;270ºC a 458ºC;26.6%;> 458ºC;43.1%;51,252;8,243;5,568;0,89;1,841;0,428;0,579;0,42;0,372;0,264;0,226;0,221;0;0,238;4,586;24,872;2,03025;531,644;27855,7145;23/12/2020 15:39
Rio de Janeiro;Santos;9-BRSA-1284-RJS;9RJS730;ATAPU;Petrobras;48610012913201005;2020/10;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2020/06;ATAPU;27,7;< 270ºC;30.3%;270ºC a 458ºC;26.6%;> 458ºC;43.1%;51,252;8,243;5,568;0,89;1,841;0,428;0,579;0,42;0,372;0,264;0,226;0,221;0;0,238;4,586;24,872;2,03025;531,644;27855,7145;23/12/2020 15:39
Rio de Janeiro;Santos;9-ATP-1-RJS;9ATP1RJS;ATAPU;Petrobras;48610012913201005;2020/10;27.938,0823;0,0000;27.938,0823;1.002,3377;0,0000;1.002,3377;12.849,44747;18,4451;Petrobras 70;UEP;610;2020/06;ATAPU;27,7;< 270ºC;30.3%;270ºC a 458ºC;26.6%;> 458ºC;43.1%;51,252;8,243;5,568;0,89;1,841;0,428;0,579;0,42;0,372;0,264;0,226;0,221;0;0,238;4,586;24,872;2,03025;531,644;27855,7145;23/12/2020 15:39
Rio de Janeiro;Santos;9-ATP-1-RJS;9ATP1RJS;AnC_NORTE_ATAPU;Petrobras;48610012913201005;2020/10;323,6018;0,0000;323,6018;11,6099;0,0000;11,6099;148,83262;0,2135;Petrobras 70;UEP;610;2020/06;ATAPU;27,7;< 270ºC;30.3%;270ºC a 458ºC;26.6%;> 458ºC;43.1%;51,252;8,243;5,568;0,89;1,841;0,428;0,579;0,42;0,372;0,264;0,226;0,221;0;0,238;4,586;24,872;2,03025;531,644;27855,7145;23/12/2020 15:39
Rio de Janeiro;Santos;3-BRSA-1132-RJS;3RJS706;BERBIGÃO;Petrobras;486100038862000;2020/10;20.349,5700;0,0000;20.349,5700;254,8965;0,0000;254,8965;7.894,95343;13,1711;Petrobras 68;UEP;645;2019/11;BERBIGAO-SURURU;28,4;< 270ºC;32.83%;270ºC a 458ºC;26.73%;> 458ºC;40.44%;70,997;12,873;7,683;0,954;1,993;0,438;0,582;0,36;0,206;0,051;0,055;0,11;0;0,013;0,931;2,754;1,99856;527,86328;40377,2486;23/12/2020 15:39
Rio de Janeiro;Santos;9-BBG-1D-RJS;9BBG1DRJS;BERBIGÃO;Petrobras;486100038862000;2020/10;21.868,1598;0,0000;21.868,1598;304,5703;0,0000;304,5703;9.433,51082;1,5118;Petrobras 68;UEP;694;2019/11;BERBIGAO-SURURU;28,4;< 270ºC;32.83%;270ºC a 458ºC;26.73%;> 458ºC;40.44%;70,997;12,873;7,683;0,954;1,993;0,438;0,582;0,36;0,206;0,051;0,055;0,11;0;0,013;0,931;2,754;1,99856;527,86328;40377,2486;23/12/2020 15:39
Rio de Janeiro;Santos;7-BBG-2D-RJS;7BBG2DRJS;BERBIGÃO;Petrobras;486100038862000;2020/10;22.796,9283;0,0000;22.796,9283;316,7462;0,0000;316,7462;9.810,63673;1,4150;Petrobras 68;UEP;696;2019/11;BERBIGAO-SURURU;28,4;< 270ºC;32.83%;270ºC a 458ºC;26.73%;> 458ºC;40.44%;70,997;12,873;7,683;0,954;1,993;0,438;0,582;0,36;0,206;0,051;0,055;0,11;0;0,013;0,931;2,754;1,99856;527,86328;40377,2486;23/12/2020 15:39
Rio de Janeiro;Santos;7-BUZ-10-RJS;7BUZ10RJS;BÚZIOS;Petrobras;48610012913201005;2020/10;47.132,5188;0,0000;47.132,5188;1.801,5352;0,0000;1.801,5352;5.813,51180;0,0000;Petrobras 75 (P-75);UEP;734;2020/02;Búzios;28,4;< 270ºC;31.07%;270ºC a 458ºC;30.08%;> 458ºC;38.85%;58,48;8,59;5,38;0,86;1,81;0,38;0,52;0,26;0,13;0,05;0,07;0,02;0;0,06;0,64;22,75;2,03055;531,70531;30704,715;23/12/2020 15:39
