Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;7-MLL-73D-RJS;7MLL73DRJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Campos;7-MLL-77D-RJS;7MLL77DRJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;3.337,7221;0,0000;3.337,7221;70,6386;0,0000;70,6386;2.049,87422;2.654,5982;FPSO CIDADE DE NITEROI;UEP;697;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Campos;7-MLL-78D-RJS;7MLL78DRJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Campos;6-BRSA-817-RJS;6MLL70RJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Campos;3-BRSA-1017D-RJS;3MLL69DRJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Campos;7-MLL-72-RJS;7MLL72RJS;MARLIM LESTE;Petrobras;480000039009703;2020/11;4.641,9246;0,0000;4.641,9246;43,4259;0,0000;43,4259;1.260,18435;3.891,0226;PETROBRAS 53;UEP;727;2015/07;Marlim Leste;24,7;< 290ºC;32.18%;290ºC a 380ºC;14.2%;> 380ºC;53.62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,02597;531,16652;39757,4265;02/02/2021
Rio de Janeiro;Santos;1-BRSA-1116-RJS;1RJS704;ITAPU;Petrobras;48610012913201005;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2020/02;Área de Florim;29,3;< 270ºC;34.45%;270ºC a 458ºC;28.01%;> 458ºC;37.54%;;;;;;;;;;;;;;;;;;;;02/02/2021
Espírito Santo;Campos;6-BRSA-639-ESS;6BFR1ESS;JUBARTE;Petrobras;480000035609749;2020/11;12.082,5000;0,0000;12.082,5000;412,0992;0,0000;412,0992;12.355,18796;2.768,0406;FPSO CAPIXABA;UEP;720;2019/05;Parque das Baleias;26,1;< 290ºC;30.5%;290ºC a 380ºC;15.2%;> 380ºC;54.3%;79,928;9,111;5,099;0,926;1,733;0,424;0,565;0,949;0,328;0,11;0,037;0,022;0;0,001;0,635;0,132;2,03835;532,61496;40322,0363;02/02/2021
